,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count
1944,41473,Flower & Snake II,ja,"[18, 53, 10749]",2005-05-14,34.865,6.2,20
1945,11322,Public Enemies,en,"[80, 28]",2009-07-01,34.858,6.7,4127
1946,310131,The Witch,en,"[18, 14, 27, 9648]",2015-01-27,34.856,6.9,6395
1947,10588,The Cat in the Hat,en,"[35, 12, 10751, 14]",2003-11-21,34.855,5.3,1516
1948,1073140,The Three Musketeers,en,"[28, 12]",2023-03-23,34.852,5.6,58
1949,512198,Dead Bride,en,"[27, 53]",2022-10-03,34.832,4.9,14
1950,292011,Richard Jewell,en,"[18, 80]",2019-12-13,34.829,7.4,2278
1951,265208,Wild Card,en,"[53, 80, 28]",2015-01-14,34.827,5.6,1620
1952,582014,Promising Young Woman,en,"[53, 80, 18]",2020-12-13,34.826,7.5,2780
1953,21972,Like Mike,en,"[10751, 35, 14]",2002-07-03,34.823,6.1,458
1954,59859,Kick-Ass 2,en,"[28, 12, 80]",2013-07-17,34.816,6.4,5790
1955,816,Austin Powers: International Man of Mystery,en,"[878, 35, 80]",1997-05-02,34.798,6.6,3084
1956,760868,Black Crab,sv,"[28, 53]",2022-03-18,34.784,6.3,702
1957,614917,King Richard,en,"[18, 36]",2021-11-18,34.771,7.7,2074
1958,674083,Peeping 438,zh,[18],2017-03-08,34.769,4.0,1
1959,1635,The Island,en,"[28, 53, 878, 12]",2005-07-21,34.75,6.7,4980
1960,474335,Uncle Drew,en,[35],2018-06-27,34.742,6.7,509
1961,310,Bruce Almighty,en,"[14, 35]",2003-05-23,34.723,6.7,10008
1962,7345,There Will Be Blood,en,[18],2007-12-26,34.713,8.1,5983
1963,9340,The Goonies,en,"[12, 35, 10751]",1985-06-07,34.708,7.5,5252
1964,10634,Friday,en,[35],1995-04-26,34.703,7.1,1594
1965,14362,Out for Justice,en,"[28, 80]",1991-04-12,34.689,6.1,393
1966,375588,Robin Hood,en,"[12, 28, 53]",2018-11-21,34.676,5.9,2767
1967,429415,Extinction,en,"[28, 18, 878, 53]",2018-07-15,34.675,6.0,1661
1968,817,Austin Powers: The Spy Who Shagged Me,en,"[12, 35, 80, 878]",1999-06-08,34.672,6.3,3039
1969,287590,Saint Seiya: Legend of Sanctuary,ja,"[28, 16, 14]",2014-06-21,34.669,6.5,628
1970,834,Underworld: Evolution,en,"[14, 28, 53]",2006-01-12,34.665,6.6,3717
1971,8836,The X Files: I Want to Believe,en,"[18, 9648, 878, 53]",2008-07-24,34.664,5.7,1350
1972,637693,Spirit Untamed,en,"[16, 12, 10751, 37]",2021-05-20,34.649,7.3,469
1973,11838,Ju-on: The Grudge,ja,[27],2002-10-18,34.646,6.7,699
1974,589761,Chernobyl: Abyss,ru,"[18, 36, 12, 28, 14, 9648]",2021-04-15,34.611,6.2,445
1975,340382,Attack on Titan II: End of the World,ja,"[27, 878, 28, 14]",2015-09-01,34.586,6.1,290
1976,51739,The Secret World of Arrietty,ja,"[14, 16, 10751]",2010-07-16,34.58,7.6,2561
1977,630940,Jokyoshi Nikki 2 Abakareta Sei,ja,[],1996-06-13,34.577,9.3,6
1978,1954,The Butterfly Effect,en,"[878, 53]",2004-01-17,34.573,7.6,6889
1979,23202,Trick 'r Treat,en,"[27, 35]",2007-10-26,34.572,7.0,1666
